"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","GET- Get specific booking by booking id 1","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","get-requests/get-booking.spec.js","",""
"","197","GET- Get specific booking by first name","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","get-requests/get-booking.spec.js","",""
"","231","GET- Get all the booking details","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","get-requests/get-booking.spec.js","",""
"","250","DELETE- Delete a booking","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","delete-requests/delete-booking.spec.js","",""
"","129","PUT- Update the booking details","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","put-requests/update-booking.spec.js","",""
"","47","POST- Create a new booking using JSON from external File","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","post-requests/create-booking-withExternalJSON.spec.js","",""
"","133","PUT- Update the booking details using JSON from external File","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","put-requests/update-booking-withExternalJSON.spec.js","",""
"","131","PATCH- Update the booking details partially","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","patch-requests/update-booking-partially.spec.js","",""
"","50","POST- Create a new booking","chromium","Mon Jun 30 21:46:32 CDT 2025","passed","Mon Jun 30 21:46:32 CDT 2025","","post-requests/create-booking.spec.js","",""
